20170601 022800;1.123360;1.123380;1.123150;1.123200;0
20170601 022900;1.123200;1.123200;1.122900;1.122950;0
20170601 023000;1.122990;1.123000;1.122750;1.122850;0
20170601 023100;1.122840;1.123120;1.122790;1.123010;0
20170601 023200;1.123010;1.123200;1.122980;1.123160;0
20170601 023300;1.123140;1.123140;1.123030;1.123100;0
20170601 023400;1.123110;1.123200;1.123020;1.123160;0
20170601 023500;1.123150;1.123220;1.123080;1.123120;0
20170601 023600;1.123140;1.123440;1.123140;1.123430;0
20170601 023700;1.123430;1.123570;1.123400;1.123530;0
20170601 023800;1.123560;1.123700;1.123470;1.123510;0
20170601 023900;1.123500;1.123720;1.123470;1.123680;0
20170601 024000;1.123650;1.123730;1.123590;1.123730;0
20170601 024100;1.123720;1.123740;1.123650;1.123680;0
20170601 024200;1.123670;1.123690;1.123620;1.123680;0
20170601 024300;1.123670;1.123800;1.123620;1.123790;0
20170601 024400;1.123790;1.123790;1.123590;1.123780;0
20170601 024500;1.123800;1.123990;1.123800;1.123940;0
20170601 024600;1.123930;1.123970;1.123870;1.123930;0
20170601 024700;1.123920;1.123940;1.123800;1.123810;0
20170601 024800;1.123820;1.124070;1.123820;1.123920;0
20170601 024900;1.123900;1.124220;1.123880;1.124220;0
20170601 025000;1.124220;1.124740;1.124220;1.124630;0
20170601 025100;1.124640;1.124640;1.124480;1.124480;0
20170601 025200;1.124490;1.124580;1.124470;1.124580;0
20170601 025300;1.124570;1.124570;1.124420;1.124430;0
20170601 025400;1.124420;1.124420;1.124370;1.124380;0
20170601 025500;1.124360;1.124600;1.124350;1.124350;0
20170601 025600;1.124340;1.124870;1.124240;1.124660;0
20170601 025700;1.124650;1.124790;1.124570;1.124670;0
20170601 025800;1.124690;1.124770;1.124610;1.124620;0
20170601 025900;1.124630;1.124630;1.124260;1.124360;0
20170601 030000;1.124340;1.124490;1.124200;1.124330;0
20170601 030100;1.124350;1.124530;1.124330;1.124530;0
20170601 030200;1.124520;1.124560;1.124350;1.124420;0
20170601 030300;1.124430;1.124470;1.124200;1.124270;0
20170601 030400;1.124280;1.124460;1.124170;1.124170;0
20170601 030500;1.124160;1.124300;1.124100;1.124180;0
20170601 030600;1.124180;1.124270;1.124080;1.124170;0
20170601 030700;1.124150;1.124150;1.123930;1.124000;0
20170601 030800;1.123990;1.124050;1.123620;1.123730;0
20170601 030900;1.123710;1.123710;1.123610;1.123640;0
20170601 031000;1.123660;1.123720;1.123480;1.123720;0
20170601 031100;1.123720;1.123860;1.123670;1.123790;0
20170601 031200;1.123800;1.123870;1.123710;1.123860;0
20170601 031300;1.123860;1.124070;1.123810;1.123890;0
20170601 031400;1.123870;1.123870;1.123520;1.123620;0
20170601 031500;1.123610;1.123720;1.123500;1.123670;0
20170601 031600;1.123690;1.123720;1.123640;1.123710;0
20170601 031700;1.123710;1.123780;1.123640;1.123760;0
20170601 031800;1.123740;1.124020;1.123610;1.124000;0
20170601 031900;1.124000;1.124130;1.123910;1.123980;0
20170601 032000;1.124010;1.124080;1.124010;1.124080;0
20170601 032100;1.124090;1.124090;1.123970;1.124040;0
20170601 032200;1.124020;1.124020;1.123920;1.123970;0
20170601 032300;1.123980;1.124070;1.123960;1.124000;0
20170601 032400;1.123980;1.123980;1.123630;1.123710;0
20170601 032500;1.123700;1.123790;1.123560;1.123560;0
20170601 032600;1.123560;1.123730;1.123470;1.123470;0
20170601 032700;1.123480;1.123510;1.123280;1.123370;0
20170601 032800;1.123390;1.123530;1.123360;1.123460;0
20170601 032900;1.123450;1.123540;1.123420;1.123540;0
20170601 033000;1.123560;1.123670;1.123410;1.123410;0
20170601 033100;1.123430;1.123460;1.123360;1.123450;0
20170601 033200;1.123550;1.123750;1.123480;1.123610;0
20170601 033300;1.123620;1.123620;1.123540;1.123540;0
20170601 033400;1.123530;1.123530;1.123370;1.123370;0
20170601 033500;1.123350;1.123760;1.123280;1.123760;0
20170601 033600;1.123760;1.123880;1.123690;1.123770;0
20170601 033700;1.123780;1.123810;1.123490;1.123560;0
20170601 033800;1.123540;1.123560;1.123350;1.123420;0
20170601 033900;1.123430;1.123670;1.123360;1.123670;0
20170601 034000;1.123690;1.123720;1.123460;1.123460;0
20170601 034100;1.123440;1.123620;1.123380;1.123390;0
20170601 034200;1.123410;1.123430;1.123260;1.123410;0
20170601 034300;1.123420;1.123420;1.123250;1.123260;0
20170601 034400;1.123290;1.123320;1.123240;1.123240;0
20170601 034500;1.123230;1.123470;1.123200;1.123370;0
20170601 034600;1.123360;1.123430;1.123320;1.123370;0
20170601 034700;1.123370;1.123370;1.123300;1.123330;0
20170601 034800;1.123310;1.123440;1.123280;1.123360;0
20170601 034900;1.123370;1.123530;1.123360;1.123400;0
20170601 035000;1.123320;1.123390;1.123250;1.123270;0
20170601 035100;1.123280;1.123280;1.122990;1.123220;0
20170601 035200;1.123240;1.123270;1.123050;1.123170;0
20170601 035300;1.123160;1.123190;1.123060;1.123170;0
20170601 035400;1.123150;1.123150;1.122920;1.122930;0
20170601 035500;1.122920;1.123020;1.122890;1.122970;0
20170601 035600;1.122980;1.123160;1.122910;1.123160;0
20170601 035700;1.123150;1.123190;1.123120;1.123170;0
20170601 035800;1.123160;1.123270;1.123140;1.123220;0
20170601 035900;1.123260;1.123280;1.123110;1.123220;0
20170601 040000;1.123230;1.123390;1.123230;1.123340;0
20170601 040100;1.123320;1.123320;1.123120;1.123120;0
20170601 040200;1.123170;1.123230;1.123010;1.123010;0
20170601 040300;1.123020;1.123100;1.123010;1.123060;0
20170601 040400;1.123070;1.123320;1.123070;1.123320;0
20170601 040500;1.123340;1.123340;1.123140;1.123150;0
20170601 040600;1.123140;1.123220;1.123060;1.123220;0
20170601 040700;1.123220;1.123220;1.123100;1.123160;0
20170601 040800;1.123140;1.123320;1.123120;1.123320;0
20170601 040900;1.123300;1.123320;1.123130;1.123140;0
20170601 041000;1.123130;1.123210;1.123090;1.123160;0
20170601 041100;1.123200;1.123510;1.123200;1.123510;0
